geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,elec_value_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp,tokeep,emissions_MtCo2_finaly,ind_val_add_2019_bln_finaly,elec_gen_GWh_finaly,emissions_MtCo2_trend,emis_int_trend,ind_val_add_2019_bln_trend,elec_gen_GWh_trend,baseyear,emissions_MtCo2_baseyear,yrs_since_final_obs,ind_val_add_multiplier,elec_gen_GWh_multiplier,ind_val_add_output,elec_gen_GWh_output,emissions_MtCo2_output,emis_int_outp,elec_carb_int_outp
ACT,Agriculture & Forestry,2005,,,,,0.13346897674502195,,,,,1,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-13.0,0.9657912412377687,,,,0.13346897674502195,,
ACT,Agriculture & Forestry,2006,,,,,0.08919199492701133,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-12.0,0.9683806178094998,,,,0.08919199492701133,,
ACT,Agriculture & Forestry,2007,,,,,0.056616239689127726,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-11.0,0.9709769367417991,,,,0.056616239689127726,,
ACT,Agriculture & Forestry,2008,,,,,0.039480438216224364,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-10.0,0.9735802166477839,,,,0.039480438216224364,,
ACT,Agriculture & Forestry,2009,,,,3.1819211326121004,0.06653397088291901,0.020909999999999998,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-9.0,0.9761904761904753,,0.020909999999999998,,0.06653397088291901,3.1819211326121004,
ACT,Agriculture & Forestry,2010,,,,4.690930584879866,0.09288042558062136,0.0198,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-8.0,0.9788077340829315,,0.0198,,0.09288042558062136,4.690930584879866,
ACT,Agriculture & Forestry,2011,,,,5.287751506385948,0.0981406679585232,0.01856,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-7.0,0.9814320090883822,,0.01856,,0.0981406679585232,5.287751506385948,
ACT,Agriculture & Forestry,2012,,,,5.379007927874241,0.09198103556664952,0.017099999999999997,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-6.0,0.9840633200203632,,0.017099999999999997,,0.09198103556664952,5.379007927874242,
ACT,Agriculture & Forestry,2013,,,,3.606407020108541,0.06204823278096746,0.017205,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-5.0,0.986701685742851,,0.017205,,0.06204823278096746,3.6064070201085414,
ACT,Agriculture & Forestry,2014,,,,3.3614236975939376,0.05495927745566088,0.01635,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-4.0,0.9893471251703981,,0.01635,,0.05495927745566088,3.3614236975939376,
ACT,Agriculture & Forestry,2015,,,,1.7646560023217546,0.03021091075974844,0.01712,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-3.0,0.991999657268269,,0.01712,,0.03021091075974844,1.7646560023217546,
ACT,Agriculture & Forestry,2016,,,,0.3570147810182616,0.0073794955236474655,0.020669999999999997,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-2.0,0.9946593010525756,,0.020669999999999997,,0.0073794955236474655,0.35701478101826156,
ACT,Agriculture & Forestry,2017,,,,0.27930179541287103,0.006099951211817102,0.021840000000000002,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,-1.0,0.9973260755904138,,0.021840000000000002,,0.006099951211817102,0.279301795412871,
ACT,Agriculture & Forestry,2018,,,,-0.2828294722668446,-0.0060582072959558106,0.021419999999999998,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,0.0,1.0,1.0,0.021419999999999998,,-0.0060582072959558106,-0.2828294722668446,
ACT,Agriculture & Forestry,2019,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,1.0,1.0026810934508088,,0.021477429021716322,,-0.014124004871386348,-0.6576208380018503,
ACT,Agriculture & Forestry,2020,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,2.0,1.0053693751637096,,0.021535012016006657,,-0.022189802446816884,-1.0304058539797205,
ACT,Agriculture & Forestry,2021,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,3.0,1.0080648644111048,,0.02159274939568586,,-0.03025560002224742,-1.4011925701454377,
ACT,Agriculture & Forestry,2022,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,4.0,1.0107675805170677,,0.02165064157467559,,-0.038321397597677956,-1.7699890077392386,
ACT,Agriculture & Forestry,2023,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,5.0,1.013477542857482,,0.021708688968007265,,-0.04638719517310849,-2.136803159392567,
ACT,Agriculture & Forestry,2024,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,6.0,1.016194770860179,,0.021766891991825035,,-0.05445299274853903,-2.5016429892237197,
ACT,Agriculture & Forestry,2025,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,7.0,1.0189192840050783,,0.021825251063388774,,-0.06251879032396956,-2.8645164329331827,
ACT,Agriculture & Forestry,2026,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,8.0,1.021651101824327,,0.021883766601077083,,-0.0705845878994001,-3.2254313978986615,
ACT,Agriculture & Forestry,2027,,,,,,,,,,0,-0.0060582072959558106,0.021419999999999998,,-0.008065797575430536,,1.0026810934508088,,2005,0.13346897674502195,9.0,1.02439024390244,,0.02194243902439026,,-0.07865038547483064,-3.5843957632698116,
